Date,adj_close,Mkt,SMB,HML,RMW,CMA,MOM,Rf
2005.8.24,11120,-0.019526156,0.010268677,-0.004086719,0.003285499,0.002822627,-0.002283021,0.000126156
2005.8.25,11040,0.002673844,0.000543614,-0.001728949,-0.005333652,-0.000806177,-0.000247206,0.000126156
2005.8.26,10980,-0.009926156,0.005201738,0.000542311,0.001766826,-0.004256553,-0.005153894,0.000126156
2005.8.29,10800,-0.021626156,-0.013588296,0.004950686,-0.009528025,-0.004749819,-0.010348834,0.000126156
2005.8.30,10820,0.008773844,-0.003453057,0.001100177,-0.001010627,-0.000558366,0.005418409,0.000126156
2005.8.31,10880,0.009873459,-0.001335573,-0.002667736,0.001323987,-0.0004093,0.00153892,0.000126541
2005.9.1,10980,0.021173459,0.001883431,-0.001780905,0.005386223,0.002277819,0.010744901,0.000126541
2005.9.2,11080,0.008473459,0.00218975,-0.004626896,0.001178536,-0.004222331,0.007035466,0.000126541
2005.9.5,11220,-0.001326541,0.012517572,-0.003793882,-0.001324241,0.00127314,-0.001127067,0.000126541
2005.9.6,11380,0.007174228,-0.004367462,0.002954773,-0.00034762,0.001380355,-0.00535984,0.000125772
2005.9.7,11580,0.017973459,-0.006920076,0.001704405,0.00377529,-0.000237877,-0.00332533,0.000126541
2005.9.8,11740,0.001873844,-0.003045447,-0.003844903,-3.17E-05,-0.001052632,-0.00474052,0.000126156
2005.9.9,11780,0.006174228,-0.00306903,0.004466843,0.006219918,0.002059608,-0.00133391,0.000125772
2005.9.12,11780,0.004973844,-0.002750426,-0.001990081,0.006277866,0.0038579,0.002233689,0.000126156
2005.9.13,12120,-0.000326156,-0.003387099,-0.000790071,-0.008451248,0.000916834,-0.018185118,0.000126156
2005.9.14,12260,0.010773844,-0.010362688,0.003781029,-0.000612984,0.007849118,0.002289548,0.000126156
2005.9.15,12140,-0.001126541,-0.000102643,0.003361995,-0.002586263,0.000348723,-0.001067222,0.000126541
2005.9.16,11860,0.003773459,0.005435262,0.01015138,0.005139771,0.001584849,0.013695645,0.000126541
2005.9.20,11860,0.014173459,0.007977571,0.006220627,0.003051205,5.61E-05,0.006681301,0.000126541
2005.9.21,12020,0.004674613,0.000923268,-0.006316412,0.0045303,-0.007320028,-0.00901028,0.000125387
2005.9.22,12000,0.002673459,-0.003076485,0.004604159,0.003503934,0.002260333,0.007725625,0.000126541
2005.9.23,11700,-0.020226541,0.011155542,0.004339441,0.001214012,0.003769486,0.00075496,0.000126541
2005.9.26,11940,0.025873459,-0.00974991,0.008359743,0.001692066,0.003662674,0.003534802,0.000126541
2005.9.27,11860,0.002573459,0.005338691,0.004845054,0.004368165,-0.002184111,0.003173345,0.000126541
2005.9.28,11960,0.015573459,-0.005815627,0.007243951,-0.000818379,-0.007829453,0.003949944,0.000126541
2005.9.29,11800,0.002073075,0.005767672,0.009315786,0.000851106,-0.001394602,0.006525847,0.000126925
2005.9.30,11760,-0.008428078,0.01466646,0.008623162,0.002464239,0.000166804,-0.003326764,0.000128078
2005.10.4,12040,0.017672691,0.007529398,-0.001431923,-0.000370235,0.003320077,-0.000998596,0.000127309
2005.10.5,12020,-0.012527309,0.019531191,-0.005921968,0.001444707,-0.000622301,0.0002357,0.000127309
2005.10.6,11720,-0.020425772,0.016639172,-0.004466091,0.013632015,0.007001181,0.005638569,0.000125772
2005.10.7,11620,-0.001326156,0.007989139,0.0007862,0.006140618,0.004164718,-0.003496867,0.000126156
2005.10.10,11860,0.021673075,0.007387487,-0.015612502,0.002065517,-0.001954532,0.000263276,0.000126925
2005.10.11,11980,0.013763477,0.004092517,0.000393085,0.00125261,0.009787464,0.001164714,0.000136523
2005.10.12,11560,-0.022036139,0.021407444,0.012390481,0.012991378,0.005814083,0.001193748,0.000136139
2005.10.13,11240,-0.019536139,0.020356682,-0.003250698,0.006329391,0.001939798,0.007641883,0.000136139
2005.10.14,11240,-0.002836139,0.006376086,0.006859628,0.002108069,0.005292585,-0.00522028,0.000136139
2005.10.17,11260,-0.011736523,-0.00234286,0.002497906,-0.002070835,0.006196217,-0.015265382,0.000136523
2005.10.18,11300,0.008263861,0.000271154,-0.006763332,-0.002347521,-0.00191205,0.002760388,0.000136139
2005.10.19,11000,-0.028036139,-0.003979287,-0.000681611,-0.007439363,-0.001870224,-0.000701952,0.000136139
2005.10.20,11120,0.007765011,-0.003138388,0.003928435,-0.000811496,-0.006562754,-0.003326574,0.000134989
2005.10.21,11280,0.018161944,-0.006538053,0.004921966,0.007805757,-0.006160305,0.005707467,0.000138056
2005.10.24,11340,0.000763861,0.015630911,-0.001541864,0.001838758,0.001569298,-0.003436658,0.000136139
2005.10.25,11300,-0.002936139,0.011795294,0.000844676,0.003405799,0.000882034,0.002226531,0.000136139
2005.10.26,11260,-0.002036139,0.009456103,0.001330441,0.001848977,-0.000789811,-0.001219416,0.000136139
2005.10.27,11160,-0.010836139,0.006542461,0.000622075,0.006029987,-0.001059302,-0.002073469,0.000136139
2005.10.28,10920,-0.022136139,0.002205937,0.006409663,0.002624602,-0.002963544,-0.000925406,0.000136139
2005.10.31,11040,0.015063094,6.90E-05,-0.005712301,0.000786726,0.002150355,-0.002513186,0.000136906
2005.11.1,11280,0.026463094,-0.009357605,-0.001881255,0.000535552,0.002005138,-0.001987965,0.000136906
